country_name,country_code,indicator_name,indicator_code,year,value,indicator_short
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2004,63.5233948093158,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2005,71.5821433759539,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2006,76.4387030058668,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2007,83.0740187275294,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2008,105.021064735005,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2009,97.8679108385313,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2010,100,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2011,111.804185808913,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2012,119.005731346616,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2013,127.795223073732,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2014,133.768366733582,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2015,132.883209191418,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2016,138.708665508891,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2017,145.610741438593,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2018,146.522481857209,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2019,149.895975208032,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2020,158.292979728016,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2021,166.418480358434,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2022,189.23795275112,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2023,180.44840108089,cpi
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,2024,168.536667139799,cpi
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,1991,5.11455176106246,cpi
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,1992,16.6737160138813,cpi
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,1993,30.8471668337309,cpi
Albania,ALB,Consumer price index (2010 = 100),FP.CPI.TOTL,1994,37.807846284174,cpi
