country_name,country_code,indicator_name,indicator_code,year,value,indicator_short
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2000,3521418059.92345,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2001,2813571753.87253,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2002,3825701438.99963,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2003,4520946818.54581,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2004,5224896718.67782,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2005,6203256538.70967,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2006,6971758282.29351,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2007,9747886187.39393,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2008,10109297047.5432,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2009,12416152732.0567,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2010,15856668555.8336,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2011,17805098206.3141,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2012,19907329777.5872,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2013,20146416757.5987,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2014,20497128555.6972,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2015,19134221644.7325,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2016,18116572395.0772,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2017,18753456497.8159,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2018,18053222687.4126,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2019,18799444490.1128,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2020,19955929052.1496,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2021,14259995441.0759,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2022,14497243872.1337,gdp
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2023,17152234636.8715,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1960,24209933140.9893,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1961,24963256383.3821,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1962,27078015031.423,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1963,31774831212.1934,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1964,30284919141.1811,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1965,33812194393.0267,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1966,36933907896.9839,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1967,38451060071.1434,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1968,41749510602.9314,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1969,47056941587.2592,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1970,47602358397.427,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1971,52197888095.6768,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1972,56735886018.8697,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1973,73096340026.7834,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1974,89551627351.3306,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1975,95312337397.3043,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1976,96023171889.5594,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1977,109227611657.038,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1978,124105768857.168,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1979,142125443087.571,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1980,178504202321.607,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1981,185157804112.61,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1982,178399944240.917,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1983,185817205250.524,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1984,170095168125.952,gdp
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1985,149393853685.646,gdp
