"Country Name","Country Code","Indicator Name","Indicator Code","NA","year","gdp","country_standardized"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1960",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1961",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1962",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1963",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1964",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1965",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1966",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1967",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1968",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1969",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1970",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1971",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1972",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1973",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1974",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1975",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1976",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1977",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1978",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1979",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1980",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1981",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1982",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1983",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1984",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1985",NA,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1986",405586592.178771,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1987",487709497.206704,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1988",596648044.692737,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1989",695530726.256983,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1990",764804469.273743,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1991",872067039.106145,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1992",958659217.877095,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1993",1083240223.46369,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1994",1245810055.86592,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1995",1320670391.06145,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1996",1379888268.15642,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1997",1531843575.41899,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1998",1665363128.49162,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"1999",1722905027.93296,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"2000",1873452513.96648,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"2001",1896456983.24022,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"2002",1961843575.41899,"Aruba"
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,"2003",2044111731.84358,"Aruba"
